label,prompt
,Why can't I sleep at night?
,I got 99 problems but ______ ain't one.
,What's a girl's best friend?
,What's that smell?
,This is the way the world ends / Not with a bang but with ______.
,What is Batman's guilty pleasure?
,TSA guidelines now prohibit ______ on airplanes.
,What ended my last relationship?
,MTV's new reality show features eight washed-up celebrities living with ______.
,I drink to forget ______.
,"I'm sorry, Professor, but I couldn't complete my homework because of ______."
,Alternative medicine is now embracing the curative powers of ______.
,What's that sound?
,What's the next Happy Meal® toy?
,It's a pity that kids these days are all getting involved with ______.
,"In the new Disney Channel Original Movie, Hannah Montana struggles with ______ for the first time."
,______. That's how I want to die.
,What does Dick Cheney prefer?
,What's the most emo?
,"Instead of coal, Santa now gives the bad children ______."
,Next from J.K. Rowling: Harry Potter and the Chamber of ______.
,"A romantic, candlelit dinner would be incomplete without ______."
,White people like ______.
,______. Betcha can't have just one!
,War!                         What is it good for?
,BILLY MAYS HERE FOR ______.
,"______. High five, bro."
,"During sex, I like to think about ______."
,What did I bring back from Mexico?
,What are my parents hiding from me?
,What will always get you laid?
,"What would grandma find disturbing, yet oddly charming?"
,What did the U.S. airdrop to the children of Afghanistan?
,What helps Obama unwind?
,What's there a ton of in heaven?
,Major League Baseball has banned ______ for giving players an unfair advantage.
,"When I am a billionaire, I shall erect a 50-foot statue to commemorate ______."
,What's the new fad diet?
,"When I am the President of the United States, I will create the Department of ______."
,______. It's a trap!
,How am I maintaining my relationship status?
,What will I bring back in time to convince people that I am a powerful wizard?
,"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on ______."
,"Coming to Broadway this season, ______: The Musical."
,What's my secret power?
,What gives me uncontrollable gas?
,"But before I kill you, Mr. Bond, I must show you ______."
,What never fails to liven up the party?
,What am I giving up for Lent?
,What do old people smell like? 
,The class field trip was completely ruined by ______.
,"When Pharaoh remained unmoved, Moses called down a plague of ______."
,"I do not know with which weapons World War III will be fought, but World War IV will be fought with ______."
,What's Teach for America using to inspire inner city students to succeed?
,"In Michael Jackson's final moments, he thought about ______."
,Why do I hurt all over?
,Studies show that lab rats navigate mazes 50% faster after being exposed to ______.
,Why am I sticky?
,What's my anti-drug?
,And the Academy Award for ______ goes to ______.
,"For my next trick, I will pull ______ out of ______."
,______: Good to the last drop.
,What did Vin Diesel eat for dinner?
,"______: kid-tested, mother-approved."
,What gets better with age?
,I never truly understood ______ until I encountered ______.
,Rumor has it that Vladimir Putin's favorite delicacy is ______ stuffed with ______.
,"Lifetime® presents ______, the story of ______."
,Make a haiku.
,"In M. Night Shyamalan's new movie, Bruce Willis discovers that ______ had really been ______ all along."
,______ is a slippery slope that leads to ______.
,"In a world ravaged by ______, our only solace is ______."
,"That's right, I killed ______. How, you ask? ______."
,"When I was tripping on acid, ______ turned into ______."
,______ + ______ = ______.
,What's the next superhero/sidekick duo?
,"Dear Abby,                         I'm having some trouble with ______ and would like your advice."
,"After the earthquake, Sean Penn brought ______ to the people of Haiti."
,"In L.A. County Jail, word is you can trade 200 cigarettes for ______."
,Maybe she's born with it. Maybe it's ______.
,Life for American Indians was forever changed when the White Man introduced them to ______.
,"Next on ESPN2, the World Series of ______."
,Step 1: ______. Step 2: ______. Step 3: Profit.
,Here is the church                         Here is the steepleOpen the doorsAnd there is ______.
,How did I lose my virginity?
,"During his childhood, Salvador Dalí produced hundreds of paintings of ______."
,"In 1,000 years, when paper money is a distant memory, how will we pay for goods and services?"
,What don't you want to find in your Kung Pao chicken?
,The Smithsonian Museum of Natural History has just opened an exhibit on ______.
,"Daddy, why is Mommy crying?"
The First Expansion,What brought the orgy to a grinding halt?
The First Expansion,"When I pooped, what came out of my butt?"
The First Expansion,"In the distant future, historians will agree that ______ marked the beginning of America's decline."
The First Expansion,What's the gift that keeps on giving?
The First Expansion,"This season on Man vs. Wild, Bear Grylls must survive in the depths of the Amazon with only ______ and his wits."
The First Expansion,Michael Bay's new three-hour action epic pits ______ against ______.
The First Expansion,"And I would have gotten away with it, too, if it hadn't been for ______!"
The First Expansion,"In a pinch, ______ can be a suitable substitute for ______."
The First Expansion,What has been making life difficult at the nudist colony?
The First Expansion,Science will never explain the origin of ______.
The First Expansion,"In Rome, there are whisperings that the Vatican has a secret room devoted to ______."
The First Expansion,I learned the hard way that you can't cheer up a grieving friend with ______.
The First Expansion,"When all else fails, I can always masturbate to ______."
The First Expansion,An international tribunal has found ______ guilty of ______.
The First Expansion,"In its new tourism campaign, Detroit proudly proclaims that it has finally eliminated ______."
The First Expansion,"In his new self-produced album, Kanye West raps over the sounds of ______."
The First Expansion,The socialist governments of Scandinavia have declared that access to ______ is a basic human right.
The First Expansion,He who controls ______ controls the world.
The First Expansion,"Dear Sir or Madam, We regret to inform you that the Office of ______ has denied your request for ______."
The First Expansion,The CIA now interrogates enemy agents by repeatedly subjecting them to ______.
The Second Expansion,______ would be woefully incomplete without ______.
The Second Expansion,"During his midlife crisis, my dad got really into ______."
The Second Expansion,"Before I run for president, I must destroy all evidence of my involvement with ______."
The Second Expansion,"My new favorite porn star is Joey ""______"" McGee."
The Second Expansion,"In his newest and most difficult stunt, David Blaine must escape from ______."
The Second Expansion,This is your captain speaking. Fasten your seatbelts and prepare for ______.
The Second Expansion,My mom freaked out when she looked at my browser history and found ______.com/______.
The Second Expansion,"The Five Stages of Grief: denial, anger, bargaining, ______, acceptance."
The Second Expansion,Members of New York's social elite are paying thousands of dollars just to experience ______.
The Second Expansion,"I went from ______ to ______, all thanks to ______."
The Second Expansion,"Little Miss Muffet Sat on a tuffet, Eating her curds and ______."
The Second Expansion,"This month's Cosmo: ""Spice up your sex life by bringing ______ into the bedroom."""
The Second Expansion,"If God didn't want us to enjoy ______, he wouldn't have given us ______."
The Second Expansion,"My country, 'tis of thee, sweet land of ______."
The Second Expansion,"After months of debate, the Occupy Wall Street General Assembly could only agree on ""More ______!"""
The Second Expansion,"I spent my whole life working toward ______, only to have it ruined by ______."
The Second Expansion,Next time on Dr. Phil: How to talk to your child about ______.
The Second Expansion,Only two things in life are certain: death and ______.
The Second Expansion,Everyone down on the ground! We don't want to hurt anyone. We're just here for ______.
The Second Expansion,The healing process began when I joined a support group for victims of ______.
The Second Expansion,"The votes are in, and the new high school mascot is ______."
The Second Expansion,Charades was ruined for me forever when my mom had to act out ______.
The Second Expansion,"Before ______, all we had was ______."
The Second Expansion,Tonight on 20/20: What you don't know about ______ could kill you.
The Second Expansion,You haven't truly lived until you've experienced ______ and ______ at the same time.
The Third Expansion,"Hey baby, come back to my place and I'll show you ______."
The Third Expansion,My gym teacher got fired for adding ______ to the obstacle course.
The Third Expansion,Finally! A service that delivers ______ right to your door.
The Third Expansion,"To prepare for his upcoming role, Daniel Day-Lewis immersed himself in the world of ______."
The Third Expansion,My life is ruled by a vicious cycle of ______ and ______.
The Third Expansion,"During high school, I never really fit in until I found ______ club."
The Third Expansion,"Money can't buy me love, but it can buy me ______."
The Third Expansion,"Listen, son. If you want to get involved with ______, I won't stop you. Just steer clear of ______."
The Third Expansion,A successful job interview begins with a firm handshake and ends with ______.
The Third Expansion,"Call the law offices of Goldstein & Goldstein, because no one should have to tolerate ______ in the workplace."
The Third Expansion,Lovin' you is easy 'cause you're ______.
The Third Expansion,The blind date was going horribly until we discovered our shared interest in ______.
The Third Expansion,What left this stain on my couch?
The Third Expansion,Turns out that ______-Man was neither the hero we needed nor wanted.
The Third Expansion,"After months of practice with ______, I think I'm finally ready for ______."
The Third Expansion,"In the seventh circle of Hell, sinners must endure ______ for all eternity."
The Third Expansion,"As part of his daily regimen, Anderson Cooper sets aside 15 minutes for ______."
The Third Expansion,"When you get right down to it, ______ is just ______."
The Third Expansion,Having problems with ______? Try ______!
The Third Expansion,And what did you bring for show and tell?
The Third Expansion,I'm not like the rest of you. I'm too rich and busy for ______.
The Third Expansion,"With enough time and pressure, ______ will turn into ______."
The Third Expansion,______: Hours of fun. Easy to use. Perfect for ______!
The Third Expansion,"______. Awesome in theory, kind of a mess in practice."
The Third Expansion,"As part of his contract, Prince won't perform without ______ in his dressing room."
The Fourth Expansion,"Man, this is bullshit. Fuck ______."
The Fourth Expansion,"Dear Leader Kim Jong-un,                         our village praises your infinite wisdom with a humble offering of ______."
The Fourth Expansion,"______ may pass, but ______ will last forever."
The Fourth Expansion,She's up all night for good fun.                         I'm up all night for ______.
The Fourth Expansion,"Alright, bros. Our frat house is condemned, and all the hot slampieces are over at Gamma Phi. The time has come to commence Operation ______."
The Fourth Expansion,"The Japanese have developed a smaller, more efficient version of ______."
The Fourth Expansion,"In return for my soul, the Devil promised me ______, but all I got was ______."
The Fourth Expansion,"You guys, I saw this crazy movie last night. It opens on ______, and then there's some stuff about ______, and then it ends with ______."
The Fourth Expansion,______ will never be the same after ______.
The Fourth Expansion,Wes Anderson's new film tells the story of a precocious child coming to terms with ______.
The Fourth Expansion,"In the beginning, there was ______.                         And the Lord said, ""Let there be ______."""
The Fourth Expansion,What's fun until it gets weird?
The Fourth Expansion,"We never did find ______, but along the way we sure learned a lot about ______."
The Fourth Expansion,"You've seen the bearded lady!                         You've seen the ring of fire!Now, ladies and gentlemen, feast your eyes upon ______!"
The Fourth Expansion,How am I compensating for my tiny penis?
The Fourth Expansion,"I'm sorry, sir, but we don't allow ______ at the country club."
The Fourth Expansion,"2 AM in the city that never sleeps. The door swings open and she walks in, legs up to here. Something in her eyes tells me she's looking for ______."
The Fourth Expansion,"As king, how will I keep the peasants in line?"
The Fourth Expansion,"Oprah's book of the month is ""______ For ______: A Story of Hope."""
The Fourth Expansion,Do not fuck with me! I am literally ______ right now.
The Fourth Expansion,"Adventure.                         Romance.______.From Paramount Pictures, ""______."""
The Fourth Expansion,"I am become ______, destroyer of ______!"
The Fourth Expansion,"It lurks in the night. It hungers for flesh. This summer, no one is safe from ______."
The Fourth Expansion,"If you can't handle ______, you'd better stay away from ______."
The Fourth Expansion,"This is the prime of my life. I'm young, hot, and full of ______."
The Fourth Expansion,"I'm pretty sure I'm high right now, because I'm absolutely mesmerized by ______."
The Fourth Expansion,"This year's hottest album is ""______"" by ______."
The Fourth Expansion,Every step towards ______ gets me a little closer to ______.
The Fourth Expansion,"Forget everything you know about ______, because now we've supercharged it with ______!"
The Fourth Expansion,"Honey, I have a new role-play I want to try tonight! You can be ______, and I'll be ______."
The Fifth Expansion,Do the Dew ® with our most extreme flavor yet! Get ready for Mountain Dew ______!
The Fifth Expansion,"Armani suit: $1,000. Dinner for two at that swanky restaurant: $300. The look on her face when you surprise her with ______: priceless."
The Fifth Expansion,"In his new action comedy, Jackie Chan must fend off ninjas while also dealing with ______."
The Fifth Expansion,"Well what do you have to say for yourself, Casey? This is the third time you've been sent to the principal's office for ______."
The Fifth Expansion,"Here at the Academy for Gifted Children, we allow students to explore ______ at their own pace."
The Fifth Expansion,"Heed my voice, mortals! I am the god of ______, and I will not tolerate ______!"
The Fifth Expansion,"I don't mean to brag, but they call me the Michael Jordan of ______."
The Fifth Expansion,Why am I broke?
The Fifth Expansion,"Help me doctor, I've got ______ in my butt!"
The Fifth Expansion,"Hi MTV! My name is Kendra, I live in Malibu, I'm into ______, and I love to have a good time."
The Fifth Expansion,Patient presents with ______. Likely a result of ______.
The Fifth Expansion,Life's pretty tough in the fast lane. That's why I never leave the house without ______.
The Fifth Expansion,What's making things awkward in the sauna?
The Fifth Expansion,Get ready for the movie of the summer! One cop plays by the book. The other's only interested in one thing: ______.
The Fifth Expansion,Having the worst day EVER. #______
The Fifth Expansion,"In his farewell address, George Washington famously warned Americans about the dangers of ______."
The Fifth Expansion,"Don't forget! Beginning this week, Casual Friday will officially become ""______ Friday."""
The Fifth Expansion,What killed my boner?
The Fifth Expansion,Yo' mama so fat she ______!
The Fifth Expansion,"Well if ______ is good enough for ______, it's good enough for me."
The Fifth Expansion,"Hi, this is Jim from accounting. We noticed a $1,200 charge labeled ""______"". Can you explain?"
The Fifth Expansion,Do you lack energy? Does it sometimes feel like the whole world is ______? Zoloft.®
The Fifth Expansion,WHOOO! God damn I love ______!
The Fifth Expansion,"Now in bookstores: ""The Audacity of ______"", by Barack Obama."
The Fifth Expansion,And today's soup is Cream of ______.
The Sixth Expansion,"I work my ass off all day for this family, and this is what I come home to? ______!?"
The Sixth Expansion,"I have a strict policy. First date, dinner. Second date, kiss. Third date, ______."
The Sixth Expansion,"When I was a kid, we used to play Cowboys and ______."
The Sixth Expansion,"This is America. If you don't work hard, you don't succeed. I don't care if you're black, white, purple, or ______."
The Sixth Expansion,You Won't Believe These 15 Hilarious ______ Bloopers!
The Sixth Expansion,"James is a lonely boy. But when he discovers a secret door in his attic, he meets a magical new friend: ______."
The Sixth Expansion,Don't worry kid. It gets better. I've been living with ______ for 20 years.
The Sixth Expansion,"My grandfather worked his way up from nothing. When he came to this country, all he had was the shoes on his feet and ______."
The Sixth Expansion,Behind every powerful man is ______.
The Sixth Expansion,You are not alone. Millions of Americans struggle with ______ every day.
The Sixth Expansion,"Come to Dubai, where you can relax in our world famous spas, experience the nightlife, or simply enjoy ______ by the poolside."
The Sixth Expansion,"""This is madness."" ""No, THIS IS ______!"""
The Sixth Expansion,"Listen Gary, I like you. But if you want that corner office, you're going to have to show me ______."
The Sixth Expansion,I went to the desert and ate of the peyote cactus. Turns out my spirit animal is ______.
The Sixth Expansion,"And would you like those buffalo wings mild, hot, or ______?"
The Sixth Expansion,"The six things I could never do without: oxygen, Facebook, chocolate, Netflix, friends, and ______ LOL!"
The Sixth Expansion,Why won't you make love to me anymore? Is it ______?
The Sixth Expansion,Puberty is a time of change. You might notice hair growing in new places. You might develop an interest in ______. This is normal.
The Sixth Expansion,"I'm sorry, Mrs. Chen, but there was nothing we could do. At 4:15 this morning, your son succumbed to ______."
The Sixth Expansion,"I'm Miss Tennessee, and if I could make the world better by changing one thing, I would get rid of ______."
The Sixth Expansion,"Tonight we will have sex. And afterwards, If you'd like, a little bit of ______."
The Sixth Expansion,Everybody join hands and close your eyes. Do you sense that? That's the presence of ______ in this room.
The Sixth Expansion,"To become a true Yanomamo warrior, you must prove that you can withstand ______ without crying out."
The Sixth Expansion,"Y'all ready to get this thing started? I'm Nick Cannon, and this is America's Got ______."
The Sixth Expansion,"If you had to describe the Card Czar, using only one of the cards in your hand, which one would it be?"